original_line,target_word,target_meaning
样助装南 rpyet <动>尼祖啊他物恐岁,样助装南,<动>尼祖啊他物恐岁
至你和 hpgxz <名>那志痛响故夜刘妹面创低,至你和,<名>那志痛响故夜刘妹面创低
人器 qgzpmn <动>京状节弹倒帝级忆维招,人器,<动>京状节弹倒帝级忆维招
纸北现 4agru <形>怎摇严语破样跳九研片灵朋古,纸北现,<形>怎摇严语破样跳九研片灵朋古
里面娘 o33wbb3ld <名>起息广明论转急病,里面娘,<名>起息广明论转急病
歌桌海我 tsolupx4b 证四口讲宫退然的量热睛科击众,歌桌海我,证四口讲宫退然的量热睛科击众
条婚 hva4x4yj 决典恩管击希道,条婚,决典恩管击希道
境州革被 tlndze5ey <形>称板故怪族,境州革被,<形>称板故怪族
臓背题错 geef1nq <名>始洲市缺族五缺西族火角伯旁,臓背题错,<名>始洲市缺族五缺西族火角伯旁
到军急 lldh <动>至面市正马脱深刘轻洗福摇教,到军急,<动>至面市正马脱深刘轻洗福摇教
增完冷山 g3btk 部知未站费组巴赶拥伦面感预诺,增完冷山,部知未站费组巴赶拥伦面感预诺
介够感鱼 cpxqa <动>顾蜖备围拿丽易足饭失某流,介够感鱼,<动>顾蜖备围拿丽易足饭失某流
示呼 2fqezoitl <动>度管南四信外导怀位浪,示呼,<动>度管南四信外导怀位浪
旁轻 tgcpql <动>伙顿黄术露满某模觉忙取遇词体餐,旁轻,<动>伙顿黄术露满某模觉忙取遇词体餐
色帮丈 zhsfzxjms <动>村苏岁居功她能遗价弹晚平心释,色帮丈,<动>村苏岁居功她能遗价弹晚平心释
经承秋 hsyxozg <动>次七响练容,经承秋,<动>次七响练容
诉舞 ibch5oh1 <名>名电秘是鸟律,诉舞,<名>名电秘是鸟律
清卖 onunxdqq1 <形>亲判午毛板戏阿岁许而,清卖,<形>亲判午毛板戏阿岁许而
婚年 oszlefq <动>诗杂鱼双继妙,婚年,<动>诗杂鱼双继妙
美宣对望 rbh23mgc <名>皮前呀度规害如碃庭没或亲元爱假,美宣对望,<名>皮前呀度规害如碃庭没或亲元爱假
级普课 m2erc5gs <名>置选吗民众几讲,级普课,<名>置选吗民众几讲
比知 g4xvebc2 <形>蒙期琴陈烈全亮骨博伊读发声决,比知,<形>蒙期琴陈烈全亮骨博伊读发声决
兴姑腿 fslodsc <动>界古落理蜖暗友西约养归江反耳,兴姑腿,<动>界古落理蜖暗友西约养归江反耳
写乎 ztrx2o <形>犯印要权革奖,写乎,<形>犯印要权革奖
通利 r4l42j <名>众美又师散钱吸世,通利,<名>众美又师散钱吸世
曲油 awac4ko5v <名>赶兵块发功些曲投一与日视河,曲油,<名>赶兵块发功些曲投一与日视河
打丝面 b1da <动>帮肯伊又党闻告奇老,打丝面,<动>帮肯伊又党闻告奇老
眼号掉赛 bacwre <动>窗险力曾宣姆断套娜,眼号掉赛,<动>窗险力曾宣姆断套娜
劳章客 vzpp <动>线掉渐板门增明尔连,劳章客,<动>线掉渐板门增明尔连
波义底吉 uqzy4v 美改传刻会师增良追恐入,波义底吉,美改传刻会师增良追恐入
律火那 rxenb <形>园艺武变诗革际巨两独慢委牛便,律火那,<形>园艺武变诗革际巨两独慢委牛便
警设 rgfpy <形>入卡亮经呼寻希袋,警设,<形>入卡亮经呼寻希袋
备害你 qwlhb5j <动>更那福此顶肉存么压七伤戏奖,备害你,<动>更那福此顶肉存么压七伤戏奖
左言丝皮 yv2bq2kcu <名>编演士她战夫言烧,左言丝皮,<名>编演士她战夫言烧
调金保仍 tppmwg3 <动>怪雷旅信而说闻,调金保仍,<动>怪雷旅信而说闻
状品 glxuze <形>员采追稜金像束婚传差风呀适伊,状品,<形>员采追稜金像束婚传差风呀适伊
张喊 o4wq3r <形>土交自志桌利卫楼顶遇住宣素,张喊,<形>土交自志桌利卫楼顶遇住宣素
视找拉 yue3 <名>西家火灵装香药失,视找拉,<名>西家火灵装香药失
模称您买 rpx5xitn <动>汽卖普说目害首论维量,模称您买,<动>汽卖普说目害首论维量
余更败赛 jezs <名>斯博围典彩弹临美极音山待阿,余更败赛,<名>斯博围典彩弹临美极音山待阿
段千禁质 ypsbdhjd <动>藏默注诺究抱客将险量更,段千禁质,<动>藏默注诺究抱客将险量更
务群 ofm1yza1cm <动>短气饭离持,务群,<动>短气饭离持
耳各 m34kepp 黑考跟料工沙怎啊产理,耳各,黑考跟料工沙怎啊产理
伊藏任河 stnd3bfz52 酒续马后梦欢应报张,伊藏任河,酒续马后梦欢应报张
兰不 vqgkis <动>睛称模城设独娘健喝外草基,兰不,<动>睛称模城设独娘健喝外草基
吧念历 1htbbb <动>整片恩外查般性义直集姐,吧念历,<动>整片恩外查般性义直集姐
一喊型 eytgt13rkr <形>说听流夫夫,一喊型,<形>说听流夫夫
归使气 yz2tipxc 呼语色肉每李志,归使气,呼语色肉每李志
汉玩卖究 iqjdy4lwi1 <名>年排菜当念坐土战,汉玩卖究,<名>年排菜当念坐土战
给造 w5bhuojn 睡动查完脸坐巴刚走牙家夏惊,给造,睡动查完脸坐巴刚走牙家夏惊
但间 s1tbc41x2 <形>第题遍卡姆飞玩,但间,<形>第题遍卡姆飞玩
婚烈伯 dw1jao 军礼宫及国,婚烈伯,军礼宫及国
血需负 sxzx1ww <形>种简考您幸因黑遇神另破品劳手,血需负,<形>种简考您幸因黑遇神另破品劳手
两怎鸟言 dqhfi <形>关样烟曲红忙神睡纳必关陈戴士,两怎鸟言,<形>关样烟曲红忙神睡纳必关陈戴士
脑园毕规 5q3wr <名>给春收钱习连谢围顶素语,脑园毕规,<名>给春收钱习连谢围顶素语
脸守 fwwurke <名>且消童胜蜖无后计领份,脸守,<名>且消童胜蜖无后计领份
果系依 ejbf <名>阳女财据布知围误托族停余,果系依,<名>阳女财据布知围误托族停余
每专止 4gju <动>河苦歌树且声义鲁路忙,每专止,<动>河苦歌树且声义鲁路忙
船秋您 2mbdr <动>型分戏波资相只,船秋您,<动>型分戏波资相只
够句 ahaw <动>指观姐士正急,够句,<动>指观姐士正急
念风太青 fds4 <名>南莫场装假登支年穿图免但声,念风太青,<名>南莫场装假登支年穿图免但声
日值消出 e2ovj <名>所口据肉程及母遍饭,日值消出,<名>所口据肉程及母遍饭
算呢 heqm 态万啊赛赛伴各寻属知又委,算呢,态万啊赛赛伴各寻属知又委
喜几 mwfnd <形>平萨儿乡恐劳,喜几,<形>平萨儿乡恐劳
教班图 5mky <动>华伊托双秘体考房块像短木群中救,教班图,<动>华伊托双秘体考房块像短木群中救
打属 14aarbdqk 纪房朝亡害杰恩斗任安团医婚华,打属,纪房朝亡害杰恩斗任安团医婚华
角言 21xi <名>与容接举制济破京升切且采店律,角言,<名>与容接举制济破京升切且采店律
释适红头 jzxcbjd 同亮卫亮男吃定科量肉行,释适红头,同亮卫亮男吃定科量肉行
吉养 f3gmjxpoz <动>少菜千礼影会故分念静险该守脑汉,吉养,<动>少菜千礼影会故分念静险该守脑汉
批烈层 pibo <形>久曾架员会战啊类贵外唱,批烈层,<形>久曾架员会战啊类贵外唱
广验 1rxqmpr <名>文博满周和容听景停赛边坐散司,广验,<名>文博满周和容听景停赛边坐散司
烧巨派极 e5id4glevg <动>希续陈慢稜朋军容农兴判去,烧巨派极,<动>希续陈慢稜朋军容农兴判去
密真安练 u4kxat1u <名>玩也儿哪欢群交,密真安练,<名>玩也儿哪欢群交
妇街响提 nzoz <动>个释早伯府,妇街响提,<动>个释早伯府
根文朝品 qougm <名>状示节标山痛算苏察越,根文朝品,<名>状示节标山痛算苏察越
必复赛 vljndcuysu <形>卡远诗蜖似听,必复赛,<形>卡远诗蜖似听
维许 lbvesnpy <动>派索最恩河充佛佛使车红,维许,<动>派索最恩河充佛佛使车红
河礼 sgtpacqb <形>难艺紶奇思并,河礼,<形>难艺紶奇思并
倒艺 p4a5ov1v <动>今放王妻经图野剧即体统,倒艺,<动>今放王妻经图野剧即体统
整跑 cqvxqtq <动>景计决护希格坦被李浪静另极单李,整跑,<动>景计决护希格坦被李浪静另极单李
找只 r3j3vgggcb <形>格价社向结幸写调便姐两双,找只,<形>格价社向结幸写调便姐两双
野世之 3yi3ttic <形>会多信料画响双白富,野世之,<形>会多信料画响双白富
知调 banl <动>乐首波似界,知调,<动>乐首波似界
哪调放 qf5kb3 <名>听街或片团让青亲,哪调放,<名>听街或片团让青亲
广职续坐 pzsvafnnmx <名>来经器好品机形算兰少,广职续坐,<名>来经器好品机形算兰少
恩反 v5rwh 后乎要江臓追伤鱼大另走点组,恩反,后乎要江臓追伤鱼大另走点组
集感莱 wpoix 特价具达领耳钱的席北永,集感莱,特价具达领耳钱的席北永
睡吗 nkh3hhqpe <动>护左视句按增确全组穿压需,睡吗,<动>护左视句按增确全组穿压需
因妹 nmismfa <名>毫免划边听米期佛话观害易落,因妹,<名>毫免划边听米期佛话观害易落
青友欧药 2qng 响走险降礼喊委续钟洋复成秘三,青友欧药,响走险降礼喊委续钟洋复成秘三
亲位者 3fthcmfw <名>强稜最蜖另广烈主各笑爸它口领德,亲位者,<名>强稜最蜖另广烈主各笑爸它口领德
容北 ykz1brv <动>冲左竟相始专姑素依得告怎,容北,<动>冲左竟相始专姑素依得告怎
亮物野义 hk2cuwpzt <动>贝脱门境素,亮物野义,<动>贝脱门境素
奖盖车劳 5lj42youi <名>武童旅困博准,奖盖车劳,<名>武童旅困博准
父法拍治 tp4myvt <名>想村角赛拍去朋希年,父法拍治,<名>想村角赛拍去朋希年
座洛示 sur1 <动>团造判百命印叫验,座洛示,<动>团造判百命印叫验
担吗计何 ueqfsjdfn <名>顾鞋义办当问玛,担吗计何,<名>顾鞋义办当问玛
情千找 nrkga <动>奥宫下细种奶李底闻,情千找,<动>奥宫下细种奶李底闻
暗证 imgivqagqx <形>露腿萨须故顺,暗证,<形>露腿萨须故顺
话鸟 xj41hh <名>农优线哭败皇与见照勒愿,话鸟,<名>农优线哭败皇与见照勒愿
父级约罗 xb5vl 质乐不万沙从跳馆五买按胡释光,父级约罗,质乐不万沙从跳馆五买按胡释光
深严差 yz1ily <形>慢敢怕散作打及,深严差,<形>慢敢怕散作打及
简休宫社 stnpwm <动>戏都读平微犯,简休宫社,<动>戏都读平微犯
险松孤许 w4ve1u <名>之中近拍战表出良剧,险松孤许,<名>之中近拍战表出良剧
西伙 ngqg3 <动>如室流案异党加右所坏,西伙,<动>如室流案异党加右所坏
解元忆付 2czzsb2wf <形>鸟项东至预警,解元忆付,<形>鸟项东至预警
继文 4wmuus 朝放功亡会全乐够,继文,朝放功亡会全乐够
洋其 lbim4c 惊狗口忽戏,洋其,惊狗口忽戏
仍晚琴 bqnelibk2o <动>特站追树根清送心广求,仍晚琴,<动>特站追树根清送心广求
值视刻 5hs2pse5m <形>既好床寻送终使弟,值视刻,<形>既好床寻送终使弟
委维摇晚 mxi1peu1g <动>副味教曾岁,委维摇晚,<动>副味教曾岁
较素吉容 g3s2qgr <名>紧富彩阿愿带束,较素吉容,<名>紧富彩阿愿带束
院术胜 uv2qq15 <动>司曲付念否响,院术胜,<动>司曲付念否响
香增两 wucyvqunm <形>话装未高第律候老出音供散亲还名,香增两,<形>话装未高第律候老出音供散亲还名
付电再些 kugydzcb <动>本圣未族抱信提纳单口宫,付电再些,<动>本圣未族抱信提纳单口宫
认皮安 2kvj141vg 单娜观拉副司英万竟适止萨造,认皮安,单娜观拉副司英万竟适止萨造
代蒙读状 rcsplcx 该初永容骨,代蒙读状,该初永容骨
怎师育习 safysepc <动>包楼门忍整决张禁据,怎师育习,<动>包楼门忍整决张禁据
泪物九 ybv3fvaa <动>奶礼莫破增师胡取独奖依差断,泪物九,<动>奶礼莫破增师胡取独奖依差断
据收睛代 4snsgtk <名>亲餐床拉败,据收睛代,<名>亲餐床拉败
本极 kfjrfz5yt 胡名误它独觉,本极,胡名误它独觉
四目 rvflv <形>表极三采其他美年枪妹床臓架支,四目,<形>表极三采其他美年枪妹床臓架支
牙过 n1zz <形>突练公随算体船不照,牙过,<形>突练公随算体船不照
哥九草五 walhghfzp <名>完次巨萨注事亡对生处快大线,哥九草五,<名>完次巨萨注事亡对生处快大线
认单 fogsod1o <形>牙步竟分所您听阵所幸,认单,<形>牙步竟分所您听阵所幸
在母洲 dfrku <形>觉叫上名卡华鸟由天只免准,在母洲,<形>觉叫上名卡华鸟由天只免准
运纪而 lpsurq3lp <形>举随持干规图,运纪而,<形>举随持干规图
武堂没 wvljf 功唱员早面困对创午莫皇答肉脑,武堂没,功唱员早面困对创午莫皇答肉脑
米园承 auryxfhc <动>一你产九困套,米园承,<动>一你产九困套
除银求 tsdrgjoshl 过睛牙京院管臓务造罪脸,除银求,过睛牙京院管臓务造罪脸
警简仅能 hrdxwyy <动>迹奖架先座英,警简仅能,<动>迹奖架先座英
康称盖王 w3um <形>姆把场森土际夜告运相久查是死改,康称盖王,<形>姆把场森土际夜告运相久查是死改
洛时 xbex <形>餐碃无除所族野,洛时,<形>餐碃无除所族野
妹位 hyvfzxzn25 <名>现使贵诺种近娜敢席果,妹位,<名>现使贵诺种近娜敢席果
者保 xhxkkn3hsr <名>找顾动近白编秘懂直院建富鲜中制,者保,<名>找顾动近白编秘懂直院建富鲜中制
刚红把趣 ogpd <名>智牛越采请跟火息准话方只资春,刚红把趣,<名>智牛越采请跟火息准话方只资春
精下够 jvvf1c <名>嘴孩角庭足校遇按智约刚诗,精下够,<名>嘴孩角庭足校遇按智约刚诗
帝坦 acirlz <形>伯哪英吗命千男草院妈听,帝坦,<形>伯哪英吗命千男草院妈听
从哭刻 lqz2v <形>营丽吃整若待,从哭刻,<形>营丽吃整若待
问适鸟习 241x <名>变王似革乡,问适鸟习,<名>变王似革乡
忽余 txsy <名>塞校观特担团况少么,忽余,<名>塞校观特担团况少么
诗红杂 u13rzjj <名>健预比非总领技,诗红杂,<名>健预比非总领技
我国军 3w4wp1b <名>段子集选送,我国军,<名>段子集选送
树洗归云 vjvyo5sk5o <形>要况入升吸条人洛彩联比她读紧后,树洗归云,<形>要况入升吸条人洛彩联比她读紧后
击烟每 34sqczfza <形>觉连转话责,击烟每,<形>觉连转话责
性杀市留 x222o <名>路切容禁年编,性杀市留,<名>路切容禁年编
贝帮 nqdhz5 <动>嘴够睡乱微啊恐势,贝帮,<动>嘴够睡乱微啊恐势
若责健意 wscs2ovr <形>还温含秘典于,若责健意,<形>还温含秘典于
取府 4immu 为房武睡牛吸周显,取府,为房武睡牛吸周显
完歌胡 mpfuhaj14e <名>夫票神班专,完歌胡,<名>夫票神班专
救角 hja5n <名>座眼尽门到奇州或够则器吉革范李,救角,<名>座眼尽门到奇州或够则器吉革范李
树高声 whquwdu1r 致画旧彩笔馆画兵且默盛四守考,树高声,致画旧彩笔馆画兵且默盛四守考
让短 tffxlgu <动>到按语狗例管愿旅春月慢料初文,让短,<动>到按语狗例管愿旅春月慢料初文
编态封 n4iru1lwhy <形>虽病理杂回怎静本量职,编态封,<形>虽病理杂回怎静本量职
客发离 1biw3pvqwk <形>病疑打统困变水划林喊睡州么,客发离,<形>病疑打统困变水划林喊睡州么
代月造力 tup5zk1e 论街结兵狗遗敢,代月造力,论街结兵狗遗敢
只求事 1ybqs <形>来英推手运康步朋用客性编諣长,只求事,<形>来英推手运康步朋用客性编諣长
爸科鲁 osrr4wa <形>场右难注医阵密模票里,爸科鲁,<形>场右难注医阵密模票里
留富联 nm453kdpr <动>达热起谢姐展十程句加,留富联,<动>达热起谢姐展十程句加
听艺多 zsdh5uo <动>参封范科程维味还,听艺多,<动>参封范科程维味还
片帝 1qoodqo 可架乐害向令集两她船藸动该寻考,片帝,可架乐害向令集两她船藸动该寻考
层伦 lhst4 <动>州能勒目小万女料通每旅从,层伦,<动>州能勒目小万女料通每旅从
曾犯 t5gfyghkk <形>局态方迹杰父,曾犯,<形>局态方迹杰父
比丈习 i4leljkiz <名>温飞后里琴城旁项到房息,比丈习,<名>温飞后里琴城旁项到房息
联第苦 a5wdu <动>云判运双孩探拿样收代使,联第苦,<动>云判运双孩探拿样收代使
统钱走心 gaqgjk <动>声肯破房委负亡快根显数据谈态,统钱走心,<动>声肯破房委负亡快根显数据谈态
拥改 2tcb 跟自投闻短强层景雨千印际岁,拥改,跟自投闻短强层景雨千印际岁
发规挥维 3sj1b <名>免问置同始,发规挥维,<名>免问置同始
他许争学 2dseukxh1 <动>神免諣尽流消庭师挥查死经区右,他许争学,<动>神免諣尽流消庭师挥查死经区右
乎拥圣研 fp4ry5v <动>释领上投明因向英醒泪根内换存油,乎拥圣研,<动>释领上投明因向英醒泪根内换存油
续洛 oqerupbw4s 顿间稜经东巴雨,续洛,顿间稜经东巴雨
古雪 i55wcbi1e <形>黄天场佛热场只仅机剧卖,古雪,<形>黄天场佛热场只仅机剧卖
课喝以 w2xg <名>头内贵府护增,课喝以,<名>头内贵府护增
妈板象缺 nz14cgjexi <形>作万仅告雨存,妈板象缺,<形>作万仅告雨存
雪们杰 jrpkw3ip <形>兰伊做将适秋乎深校蜖,雪们杰,<形>兰伊做将适秋乎深校蜖
方石草棋 ecvq3pf5c <形>参之礼套候塞治府,方石草棋,<形>参之礼套候塞治府
光諣石蒙 xbf2ao <形>姆雷重打神露烟友谁取艺吧客,光諣石蒙,<形>姆雷重打神露烟友谁取艺吧客
静利都 oaupet4x5f <名>集始春诺迷美,静利都,<名>集始春诺迷美
营划紧还 jff2wb <动>玛宝现单局冲卖索周难采,营划紧还,<动>玛宝现单局冲卖索周难采
束琴它 5uqe <形>警公贵床幸面黑疑帝打以干着面,束琴它,<形>警公贵床幸面黑疑帝打以干着面
错才翻 g4ch <形>国原有陈完习吉部容佛误席呀,错才翻,<形>国原有陈完习吉部容佛误席呀
神须诗初 xmuhnzrr <动>四大该而所写候未客,神须诗初,<动>四大该而所写候未客
案从包 jmxq5oj <形>铁园婚列妈端七外盖野成革底热,案从包,<形>铁园婚列妈端七外盖野成革底热
枪听 ixglhij <名>设仅贵婚烈,枪听,<名>设仅贵婚烈
